k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
R_A2;S_P5;10002;110;258;130;26;52;0;0;0
R_A2;S_E2;10002;17;258;21;26;64;0;4352;0
R_A2;S_E4;10002;17;258;21;26;64;0;4352;0
R_A2;S_P38;10002;34;258;130;26;54;0;0;1
R_A2;S_P16;10002;110;258;130;26;35;0;0;1
R_A2;S_P37;10002;34;258;130;26;64;0;0;0
R_A2;S_D3;10002;130;258;66;26;62;0;4608;0
R_A2;S_P22;10002;110;258;130;26;64;0;0;1
R_A2;S_D5;10002;130;258;66;26;62;0;4608;0
R_A2;S_P40;10002;34;258;130;26;64;0;0;1
R_A2;S_P19;10002;110;258;130;26;38;0;0;1
R_A2;S_O3;10002;258;258;66;26;32;0;0;0
R_A2;S_P9;10002;110;258;130;26;64;0;0;1
R_B2;S_P4;4098;34;33;130;28;60;0;0;0
R_B2;S_P5;4098;110;33;130;28;52;0;0;0
R_B2;S_E2;4098;17;33;21;28;64;0;4352;1
R_B2;S_E4;4098;17;33;21;28;64;0;4352;1
R_B2;S_P38;4098;34;33;130;28;54;0;0;1
R_B2;S_P16;4098;110;33;130;28;35;0;0;1
R_B2;S_P37;4098;34;33;130;28;64;0;0;1
R_B2;S_D3;4098;130;33;66;28;62;0;4608;0
R_B2;S_D5;4098;130;33;66;28;62;0;4608;1
R_B2;S_P40;4098;34;33;130;28;64;0;0;1
R_B2;S_P19;4098;110;33;130;28;38;0;0;1
R_B2;S_O3;4098;258;33;66;28;32;0;0;1
R_B2;S_P9;4098;110;33;130;28;64;0;0;0
P_C1;S_P15;66;110;514;130;19;30;4096;0;1
P_C1;S_P4;66;34;514;130;19;60;4096;0;0
P_C1;S_E2;66;17;514;21;19;64;4096;4352;1
P_C1;S_E4;66;17;514;21;19;64;4096;4352;1
P_C1;S_P38;66;34;514;130;19;54;4096;0;1
P_C1;S_P37;66;34;514;130;19;64;4096;0;1
P_C1;S_D3;66;130;514;66;19;62;4096;4608;0
P_C1;S_P22;66;110;514;130;19;64;4096;0;0
P_C1;S_D5;66;130;514;66;19;62;4096;4608;0
P_C1;S_P40;66;34;514;130;19;64;4096;0;1
P_C1;S_P19;66;110;514;130;19;38;4096;0;1
P_C1;S_O3;66;258;514;66;19;32;4096;0;1
P_C1;S_P9;66;110;514;130;19;64;4096;0;1
S_K5;S_P15;514;110;258;130;20;30;4224;0;1
S_K5;S_P4;514;34;258;130;20;60;4224;0;1
S_K5;S_E2;514;17;258;21;20;64;4224;4352;1
S_K5;S_E4;514;17;258;21;20;64;4224;4352;1
S_K5;S_P38;514;34;258;130;20;54;4224;0;0
S_K5;S_P37;514;34;258;130;20;64;4224;0;0
S_K5;S_D3;514;130;258;66;20;62;4224;4608;0
S_K5;S_P22;514;110;258;130;20;64;4224;0;0
S_K5;S_D5;514;130;258;66;20;62;4224;4608;0
S_K5;S_P40;514;34;258;130;20;64;4224;0;0
S_K5;S_P19;514;110;258;130;20;38;4224;0;0
S_K5;S_O3;514;258;258;66;20;32;4224;0;1
S_K5;S_P9;514;110;258;130;20;64;4224;0;0
S_P15;S_O5;110;3;130;66;30;16;0;0;1
S_P15;R_N1;110;3;130;18;30;53;0;1024;1
S_P15;P_K1;110;3;130;258;30;33;0;13312;1
S_P15;S_K4;110;10;130;258;30;16;0;16;1
S_P15;S_K1;110;10;130;258;30;17;0;2048;1
