k1_name;k2_name;classification;knn;logistic_regression;mlp;xgb
R_P1;S_P40;1;1;1;1;0
S_O1;R_S3;1;1;0;1;1
S_O1;S_K1;1;1;0;1;1
S_O1;R_T1;1;0;0;0;0
S_O1;R_S4;0;0;1;0;0
S_O1;S_L8;1;0;0;0;0
S_O1;R_P1;0;1;0;1;0
P_E8;S_J5;0;0;1;0;0
P_E8;S_O2;1;1;0;1;0
P_E8;S_O4;1;1;0;1;0
P_E8;R_E2;1;0;0;0;0
P_E8;R_P1;0;0;0;0;0
R_X2;S_O5;1;0;0;1;0
R_X2;R_S3;0;0;0;0;0
R_X2;R_T1;0;0;0;0;0
R_X2;R_S4;0;0;0;0;0
R_X2;S_L8;0;1;0;1;0
R_X2;S_O2;1;1;0;1;0
R_X2;S_O4;1;0;0;0;0
R_X2;R_P1;1;0;0;0;0
R_D2;R_S3;0;0;0;0;0
R_D2;R_T1;0;0;0;0;0
R_D2;R_S4;0;0;0;1;0
R_D2;S_O4;0;0;0;0;0
P_D1;S_O5;0;0;0;0;0
P_D1;R_S3;0;1;0;1;0
P_D1;P_K1;1;0;0;0;0
P_D1;S_K1;1;1;0;1;0
P_D1;R_T1;0;1;0;1;1
P_D1;R_S4;0;0;0;0;0
P_D1;S_L8;0;0;0;0;0
P_D1;S_J5;1;1;0;1;0
P_D1;S_O2;0;0;0;0;0
P_D1;S_O4;0;0;0;1;0
P_D1;R_E2;1;0;0;0;0
P_D1;R_P1;0;1;0;0;1
P_E2;R_N1;1;1;0;0;1
R_X1;R_S3;0;1;0;0;1
R_X1;S_K4;0;1;0;1;1
R_X1;R_T1;0;0;0;0;0
R_X1;R_S4;0;0;0;0;0
R_X1;S_J5;0;0;0;0;0
R_X1;S_O2;0;0;0;0;0
R_X1;S_O4;0;1;0;0;0
R_X1;R_E2;1;1;0;0;0
R_X1;R_P1;0;1;0;1;1
P_I1;R_N1;1;0;0;0;0
P_J1;R_S3;1;1;0;1;1
P_J1;P_K1;0;0;0;1;0
P_J1;S_K4;0;0;0;0;0
P_J1;S_K1;0;0;0;0;1
P_J1;R_T1;1;0;0;0;0
P_J1;R_S4;1;1;0;0;1
P_J1;S_L8;1;0;0;0;0
P_J1;S_J5;0;1;0;1;1
P_J1;S_O4;1;1;0;1;1
P_J1;R_E2;1;0;0;0;0
P_J1;R_P1;1;0;0;0;0
R_H1;S_O5;0;0;0;1;1
R_H1;R_S3;0;0;0;1;0
R_H1;P_K1;0;0;0;0;0
R_H1;R_T1;0;0;0;1;0
R_H1;R_S4;0;1;0;1;1
R_H1;S_L8;0;0;0;0;1
R_H1;S_O2;1;1;0;1;0
R_H1;S_O4;1;0;0;0;0
R_H1;R_E2;1;1;0;0;0
R_H1;R_P1;0;0;0;0;0
R_I1;R_N1;1;0;0;0;0
R_I1;R_S3;0;0;0;0;0
R_I1;P_K1;0;1;0;1;0
R_I1;S_K4;0;1;0;1;1
R_I1;S_K1;0;1;0;1;1
R_I1;R_T1;0;0;0;0;0
R_I1;R_S4;0;1;0;1;0
R_I1;S_L8;0;1;1;1;0
R_I1;S_J5;0;0;0;0;1
R_I1;S_O4;0;0;0;0;0
R_I1;R_E2;1;0;0;0;0
R_I1;R_P1;0;1;0;0;0
P_H1;S_O5;1;0;0;0;0
P_H1;R_N1;0;1;0;1;0
P_H1;R_S3;1;0;0;0;0
P_H1;S_K4;0;0;1;0;0
P_H1;S_K1;0;1;1;1;1
P_H1;R_T1;1;1;0;1;0
P_H1;R_S4;0;0;0;0;1
P_H1;S_L8;0;0;0;0;0
P_H1;S_O2;1;0;0;0;0
P_H1;S_O4;1;0;0;1;0
P_H1;R_E2;0;1;0;1;1
P_H1;R_P1;0;0;0;0;0
P_F1;R_S3;1;0;0;0;0
P_F1;P_K1;0;1;0;1;1
P_F1;R_T1;1;0;0;0;0
P_F1;R_S4;1;1;0;1;0
P_F1;S_L8;0;1;0;1;1
P_F1;S_O4;1;0;0;0;1
P_G3;R_S3;0;1;0;1;1
